Date,Weekday,Month,TrainNo,TrainType,Direction,TripLine,StationID,StopSeq,ScheduledArr,FirstDep,LastArr,Period,IsHoliday,HolidayType,IsTerminal,RunMin,StationClass,SideTrackCount,IsDouble,MixIndex,SpeedDiff,PrevDelay,DelayTime,IsDelayed,IsDelayed_Research,StationName
2026-03-01,,,1282,區間,0,0.0,0980,24.0,23:47,21:43,23:47,離峰,1,週末,1,4.0,,,,2.0,3.0,0.0,0,0,0,南港
2026-03-01,,,129,自強,1,1.0,5050,24.0,19:25,13:14,19:25,尖峰,1,週末,1,13.0,,,,4.0,12.0,0.0,0,0,0,潮州
2026-03-01,,,1295,區間,1,0.0,0930,4.0,23:37,23:25,23:37,離峰,1,週末,1,4.0,,,,3.0,52.0,0.0,0,0,0,七堵
2026-03-01,,,1298,區間,0,1.0,1080,20.0,23:48,22:10,23:48,離峰,1,週末,1,6.0,,,,3.0,5.0,1.0,1,0,0,桃園
2026-03-01,,,131,自強,1,1.0,5050,13.0,14:29,09:30,14:29,離峰,1,週末,1,11.0,,,,4.0,15.0,2.0,2,0,1,潮州
2026-03-01,,,132,自強,0,1.0,0930,14.0,18:45,13:23,18:45,尖峰,1,週末,1,16.0,,,,3.0,52.0,1.0,1,0,0,七堵
2026-03-01,,,133,自強,1,2.0,5050,28.0,20:15,14:07,20:15,離峰,1,週末,1,11.0,,,,3.0,7.0,7.0,6,1,1,潮州
2026-03-01,,,134,自強,0,1.0,0900,29.0,20:28,14:07,20:28,離峰,1,週末,1,7.0,,,,2.0,2.0,3.0,3,0,1,基隆
2026-03-01,,,135,自強,1,1.0,5000,24.0,20:23,14:28,20:23,離峰,1,週末,1,8.0,,,,3.0,8.0,3.0,4,0,1,屏東
2026-03-01,,,136,傾斜式自強,0,1.0,0980,11.0,19:21,14:57,19:21,尖峰,1,週末,1,4.0,,,,4.0,65.0,8.0,9,1,1,南港
2026-03-01,,,137,傾斜式自強,1,1.0,5050,11.0,19:56,15:30,19:56,尖峰,1,週末,1,11.0,,,,4.0,12.0,10.0,8,1,1,潮州
2026-03-01,,,138,自強,0,1.0,0930,23.0,21:02,15:12,21:02,離峰,1,週末,1,10.0,,,,5.0,8.0,5.0,11,1,1,七堵
