Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,1211,1.32,5.0,25,區間,1,0,0.7576,25,33,0,平日,離峰,4.0,0,0
2026-03-18,2026-03-18,1212,0.125,1.0,24,區間,0,0,0.75,24,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1214,0.05263157894736842,1.0,19,區間,0,0,0.7037,19,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1217,2.259259259259259,6.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,4.0,0,1
2026-03-18,2026-03-18,1218,0.2962962962962963,2.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,122,1.037037037037037,2.0,27,自強,0,1,0.9643,27,28,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1221,1.0,3.0,19,區間,1,0,0.7037,19,27,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1222,0.21739130434782608,2.0,23,區間,0,0,0.7188,23,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1223,0.36,2.0,25,區間,1,0,0.7576,25,33,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1226,2.6,3.0,10,區間,0,0,0.6667,10,15,0,平日,尖峰,1.0,0,1
2026-03-18,2026-03-18,1227,0.14814814814814814,1.0,27,區間,1,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1228,0.18518518518518517,1.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,123,0.9230769230769231,3.0,26,自強,1,1,1.0,26,26,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1231,1.1904761904761905,3.0,21,區間,1,0,0.7241,21,29,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1232,0.5652173913043478,3.0,23,區間,0,0,0.7188,23,32,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1234,1.5454545454545454,4.0,22,區間,0,0,0.6875,22,32,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,1235,0.9583333333333334,4.0,24,區間,1,0,0.75,24,32,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,1237,0.2631578947368421,1.0,19,區間,1,1,0.4872,19,39,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1238,2.2962962962962963,4.0,27,區間,0,1,0.6923,27,39,0,平日,離峰,2.0,0,1
2026-03-18,2026-03-18,1239,0.7777777777777778,2.0,18,區間,1,0,0.75,18,24,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,124,0.2,2.0,10,傾斜式自強,0,1,1.0,10,10,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,1241,0.625,2.0,16,區間,1,0,0.5,16,32,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1242,1.3181818181818181,3.0,22,區間,0,0,0.6875,22,32,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1243,0.3888888888888889,2.0,18,區間,1,0,0.6429,18,28,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1247,0.46153846153846156,2.0,13,區間,1,1,0.3333,13,39,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,1248,0.4090909090909091,2.0,22,區間,0,1,0.5641,22,39,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,125,1.2,4.0,25,自強,1,1,1.0,25,25,0,平日,離峰,4.0,0,0
2026-03-18,2026-03-18,1251,0.0,0.0,10,區間,1,0,0.2778,10,36,0,平日,尖峰,,0,0
